gpa_id,gpa_name,website,start_year,recent_year,subject_area,subject_collapsed,creator_name,creator_type,creator_clean,creator_collapsed,country,country_collapsed,ISO3,active
40,Environmental Performance Index,http://epi.yale.edu/epi2012/rankings,2000,2018,Environment,Environment,Center for International Earth Science Information Network (Columbia University) and Yale Center for Environmental Law and Policy (Yale University),1,University,University or Private,USA,United States,USA,TRUE
41,Environmental Performance Index (earlier Environmental Sustainability Index),http://www.yale.edu/envirocenter/epm.htm,1995,2005,Environment,Environment,Center for International Earth Science Information Network (Columbia University) and Yale Center for Environmental Law and Policy (Yale University),1,University,University or Private,United States,United States,USA,FALSE
42,Euro Health Consumer Index,http://www.healthpowerhouse.com/publications/,2005,2017,Health,Development,Health Consumer Powerhouse,4,Private,University or Private,NA,NA,NA,TRUE
43,European Foreign Policy Scorecard,http://www.ecfr.eu/scorecard,2010,2016,Governance,Governance,European Council on Foreign Relations,3,NGO,NGO,NA,NA,NA,TRUE
44,European Gender Equality Index,http://eige.europa.eu/content/gender-equality-index,2013,2017,"Gender, Social","Human Rights, Social",European Institute for Gender Equality,5,IGO,IGO,Lithuania,Europe,LTU,TRUE
45,European Innovation Scoreboard (EIS) and Summary Innovation Index (SII),http://ec.europa.eu/enterprise/policies/innovation/facts-figures-analysis/innovation-scoreboard/,2000,2016,Economic,Economic,European Commission,5,IGO,IGO,Belgium,Europe,BEL,TRUE
46,Exporting Corruption Progress Report,https://www.transparency.org/whatwedo/publication/exporting_corruption_progress_report_2015_assessing_enforcement_of_the_oecd,2005,2015,Governance,Governance,Transparency International,3,NGO,NGO,Germany,Europe,DEU,TRUE
47,"Extractive Industries Transparency Initiative (EITI) Country Reports
",http://eiti.org/countries,1999,2016,"Governance, Economic","Governance, Economic",Extractive Industries Transparency Initiative,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
48,Female Entrepreneurship Index,https://thegedi.org/research/womens-entrepreneurship-index/,2013,2015,"Gender, Development","Human Rights, Development",GEDI,3,NGO,NGO,NA,NA,NA,TRUE
49,Financial Action Task Force High Risk and Noncooperative jurisdictions,http://www.fatf-gafi.org/topics/high-riskandnon-cooperativejurisdictions/,2010,2018,Finance,Trade & Finance,Financial Action Task Force (FATF),5,IGO,IGO,France,Europe,FRA,TRUE
50,Fragile State Index/ Failed state index,http://fundforpeace.org/fsi/2018/04/24/fragile-states-index-2018-annual-report/,2005,2018,Governance,Governance,Foreign Policy/ Fund for Peace,3,NGO,NGO,USA,United States,USA,TRUE
51,Freedom in the World,http://www.freedomhouse.org/report-types/freedom-world,1973,2018,Governance,Governance,Freedom House,3,NGO,NGO,USA,United States,USA,TRUE
52,Freedom of the Press,http://www.freedomhouse.org/report-types/freedom-press,1980,2016,Press Freedom,Human Rights,Freedom House,3,NGO,NGO,USA,United States,USA,TRUE
53,Freedom on the Net,https://freedomhouse.org/report-types/freedom-net,2011,2017,Press Freedom,Human Rights,Freedom House,3,NGO,NGO,United States,United States,USA,TRUE
54,Gender Development Index,http://hdr.undp.org/en/statistics/indices/gdi_gem/,1995,2016,Gender,Human Rights,UNDP,5,IGO,IGO,United States,United States,USA,TRUE
55,Gender Equity Index,http://www.socialwatch.org/about,2007,2012,"Social, Gender","Social, Human Rights",Social Watch,3,NGO,NGO,Uruguay,Global South,URY,FALSE
56,Gender Inequality Index,http://hdr.undp.org/en/statistics/gii,1995,2016,Gender,Human Rights,United Nations Development Program (UNDP),5,IGO,IGO,USA,United States,USA,TRUE
57,Global Adaptation Index / ND-Gain,https://gain.nd.edu/our-work/country-index/,2013,2016,Environment,Environment,University of Notre Dame,1,University,University or Private,United States,United States,USA,TRUE
58,Global AgeWatch Index/ Global Agewatch Insights,http://www.helpage.org/global-agewatch/,2013,2018,Social,Social,HelpAge International,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
59,Global Aging Preparedness Index,http://csis.org,2003,2010,Social,Social,Center for Strategic and International Studies/ Watson Wyatt Worldwide,3,NGO,NGO,United States,United States,USA,FALSE
60,Global Cleantech Innovation Index,http://www.cleantech.com/indexes/the-global-cleantech-innovation-index/,2012,2017,"Economic, Environment","Economic, Environment",Cleantech/ WWF/ UN,4,Private,University or Private,United States,United States,USA,TRUE
61,Global Climate Risk Index,http://germanwatch.org/en/download/7170.pdf,2006,2017,Environment,Environment,Germanwatch,3,NGO,NGO,Germany,Europe,DEU,TRUE
62,Global Competitiveness Index,http://reports.weforum.org/global-competitiveness-report-2012-2013/,2004,2018,"Economic, Trade","Economic, Trade & Finance",World Economic Forum,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
63,Global Corruption Barometer,http://www.transparency.org/research/gcb/overview,2003,2017,Governance,Governance,Transparancy International,3,NGO,NGO,Germany,Europe,DEU,TRUE
64,Global Cybersecurity Index,http://www.itu.int/en/ITU-D/Cybersecurity/Pages/GCI.aspx,2014,2017,"Security, Technology","Security, Trade & Finance",International Telecommunications Union (ITU),5,IGO,IGO,NA,NA,NA,TRUE
65,Global Democracy Ranking,http://democracyranking.org,2000,2017,Governance,Governance,Democracy Ranking,4,Private,University or Private,Austria,Europe,AUT,TRUE
66,Global Entrepreneurship Index,https://thegedi.org/global-entrepreneurship-and-development-index/,2015,2018,Economic,Economic,GEDI,3,NGO,NGO,NA,NA,NA,TRUE
67,Global Entrepreneurship Monitor,http://www.gemconsortium.org/docs/2645/gem-2012-global-report,1999,2018,"Economic, Social","Economic, Social",London Business School/ Babson College,1,University,University or Private,United Kingdom,United Kingdom,GBR,TRUE
68,Global Food Security Index,http://foodsecurityindex.eiu.com/Index,2012,2017,"Social, Development","Social, Development",The Economist,4,Private,University or Private,USA,United States,USA,TRUE
69,Global Gender Gap Index,http://www3.weforum.org/docs/WEF_GGGR_2017.pdf,2005,2017,"Gender, Social, Economic","Human Rights, Social, Economic",World Economic Forum,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
70,Global Green Economy Index,http://www.dualcitizeninc.com/ggei2012.pdf,2010,2018,"Environment, Economic","Environment, Economic",Dual citizen,4,Private,University or Private,USA,United States,USA,TRUE
71,Global Hunger Index,http://www.ifpri.org/sites/default/files/publications/ghi12.pdf,1990,2017,Development,Development,International Food Policy Research Institute (IFPRI),3,NGO,NGO,USA,United States,USA,TRUE
72,Global Innovation Index,http://www.globalinnovationindex.org/content.aspx?page=GII-Home,2008,2018,"Governance, Economic","Governance, Economic",World Intellectual Property Organization (primary),5,IGO,IGO,Switzerland,Europe,CHE,TRUE
73,Global Integrity Index,http://www.globalintegrity.org/report,2004,2013,Governance,Governance,Global Integrity,3,NGO,NGO,USA,United States,USA,FALSE
74,Global Microscope,http://www.centerforfinancialinclusion.org/publications-a-resources/global-microscope,2013,2016,Economic,Economic,EIU and Center for Financial Inclusion,3,NGO,NGO,United States,United States,USA,TRUE
75,Global Open Data Index,https://index.okfn.org/about/,2013,2016,Governance,Governance,Open Knowledge International,3,NGO,NGO,United States,United States,USA,TRUE
76,Global Peace Index,http://www.visionofhumanity.org/#/page/about-gpi,2007,2018,Security,Security,Institute for Economics and Peace/Economist Intelligence Unit,3,NGO,NGO,USA,United States,USA,TRUE
77,Global Right to Information Rating,http://www.rti-rating.org,2011,2015,Governance,Governance,Centre for Law and Democracy and Access Info Europe,3,NGO,NGO,Canada,Other developed nations,CAN,TRUE
78,Global Slavery Index,http://www.globalslaveryindex.org/report/?download,2013,2016,Social,Social,Walk Free Foundation,3,NGO,NGO,Australia,Other developed nations,AUS,TRUE
79,Global Sustainable Competitiveness Index,http://solability.com/the-global-sustainable-competitiveness-index,2012,2017,"Economic, Environment","Economic, Environment",SolAbility,4,Private,University or Private,South Korea,Other developed nations,KOR,TRUE
80,Global Talent Competitiveness Index,http://global-indices.insead.edu/gtci/,2013,2017,"Social, Economic","Social, Economic",INSEAD,1,University,University or Private,NA,NA,NA,TRUE
81,Global Terrorism Index,http://www.visionofhumanity.org/#/page/our-gti-findings,2012,2017,Security,Security,Institute for Economics and Peace,3,NGO,NGO,USA,United States,USA,TRUE
82,Global Youth Wellbeing Index,http://www.youthindex.org,2014,2017,"Social, Health","Social, Development",Center for Strategic and International Studies; International Youth Foundation,3,NGO,NGO,United States,United States,USA,TRUE
83,Good Country Index,https://goodcountry.org/index/about-the-index,2014,2017,"Social, Development","Social, Development",Simon Anholt,4,Private,University or Private,United Kingdom,United Kingdom,GBR,TRUE
84,Government Defense Anti-Corruption Index,http://government.defenceindex.org/,2012,2015,Governance,Governance,Transparency International,3,NGO,NGO,Germany,Europe,DEU,TRUE
85,Happy Planet Index,http://www.happyplanetindex.org/data/,2006,2016,"Social, Environment","Social, Environment",The New Economics Foundation,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
86,Hays Global Skills Index,http://www.hays-index.com/the-index/introduction/,2012,2016,Economic,Economic,Hays,4,Private,University or Private,United Kingdom,United Kingdom,GBR,TRUE
87,Human Assets Index,http://www.ferdi.fr/en/indicator/human-assets-index,2011,2016,"Education, Health",Development,FERDI,3,NGO,NGO,France,Europe,FRA,TRUE
88,Human Development Index,http://hdr.undp.org/en/statistics/hdi/,1990,2016,Development,Development,United Nations Development Program (UNDP),5,IGO,IGO,USA,United States,USA,TRUE
89,Human Freedom Index,https://www.cato.org/human-freedom-index,2015,2017,"Social, Development","Social, Development",Cato Institute,3,NGO,NGO,United States,United States,USA,TRUE
90,Human Opportunity Index,http://www1.worldbank.org/poverty/visualizeinequality/ECA/ine_hoi.html,2003,2009,"Social, Development","Social, Development",World Bank,5,IGO,IGO,United States,United States,USA,FALSE
91,Humanitarian Response Index,http://daraint.org/humanitarian-response-index/humanitarian-response-index-2011/,2007,2011,Development,Development,DARA Institute,3,NGO,NGO,Spain,Europe,ESP,FALSE
92,Hunger and Nutrition Commitment Index,http://www.hancindex.org,2012,2017,Health,Development,Insitute of Devlopment Studies,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
93,Ibrahim Index of African Governance,http://mo.ibrahim.foundation/iiag/,2007,2017,Governance,Governance,Mo Ibrahim Foundation,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
94,ICT Development Index,http://www.itu.int/ITU-D/ict/publications/idi/,2009,2017,"Economic, Development","Economic, Development",International Telecommunications Union (ITU),5,IGO,IGO,Switzerland,Europe,CHE,TRUE
95,IDA Country Performance Rating,http://www.worldbank.org/ida/CPR-2011.html,2006,2014,"Governance, Economic","Governance, Economic",World Bank/ IDA,5,IGO,IGO,USA,United States,USA,TRUE
96,IDA Resource Allocation Index,http://ida.worldbank.org/financing/ida-resource-allocation-index,2015,2017,Development,Development,IDA,5,IGO,IGO,United States,United States,USA,TRUE
97,IDA Special Allocation Index,http://ida.worldbank.org/financing/ida-special-allocation-index-isai-0,2015,2017,Development,Development,IDA,5,IGO,IGO,United States,United States,USA,TRUE
98,ILAB country assesments,https://www.dol.gov/ilab/reports/child-labor/findings/index.htm,2011,2016,Human Rights,Human Rights,US Department of Labor,2,National government,State,USA,United States,USA,TRUE
99,Inclusive Wealth Index,http://f.cl.ly/items/2C2y022A2j1s472s0T1I/IWR%20Lo-Res.pdf  and http://www.ihdp.unu.edu/docs/Publications/Secretariat/Reports/SDMs/IWR_SDM_2014.pdf,2012,2014,Economic,Economic,"UNU, UNEP",5,IGO,IGO,USA,United States,USA,TRUE
100,Index of Cognitive Skills and Educational Attainment,http://thelearningcurve.pearson.com/index/index-ranking,2012,2014,Education,Development,Pearson,4,Private,University or Private,United States,United States,USA,TRUE
101,Index of Economic Freedom,http://www.heritage.org/index/ranking,1995,2018,"Governance, Development, Economic","Governance, Development, Economic",Heritage Foundation/ The Wall Street Journal,4,Private,University or Private,USA,United States,USA,TRUE
102,Index of Human Freedom/ Human Freedom Index,https://www.fraserinstitute.org/studies/human-freedom-index-2017,2012,2017,"Human Rights, Governance","Human Rights, Governance",Fraser Institute,3,NGO,NGO,Canada,Other developed nations,CAN,TRUE
103,Industrial Competitiveness of Nations,https://www.unido.org/sites/default/files/files/2017-11/IDR2018_FULL%20REPORT.pdf,2003,2018,"Trade, Finance",Trade & Finance,UNIDO,5,IGO,IGO,Austria,Europe,AUT,TRUE
104,International Energy Efficiency Scorecard,http://aceee.org/portal/national-policy/international-scorecard,2012,2018,"Environment, Energy","Environment, Development",ACEEE,3,NGO,NGO,United States,United States,USA,TRUE
105,International Energy Security Risk Index,http://www.energyxxi.org/international-energy-security-risk-index,2012,2018,"Environment, Energy","Environment, Development",Energy XXI (US Chamber of Commerce),3,NGO,NGO,United States,United States,USA,TRUE
106,International Institute for Management Development: World Competitiveness Yearbook,https://www.imd.org/wcc/world-competitiveness-center-rankings/world-competitiveness-ranking-2018/,1997,2018,"Governance, Economic","Governance, Economic",IMD Buisness School,1,University,University or Private,Switzerland,Europe,CHE,TRUE
107,International Property Rights Index,http://www.internationalpropertyrightsindex.org/,2007,2017,"Human Rights, Governance","Human Rights, Governance",Americans for Tax Reform (Property Rights Alliance),3,NGO,NGO,USA,United States,USA,TRUE
108,IP Watchlist,http://www.consumersinternational.org/media/947282/ipwatchlist-2012-eng-web2-1.pdf,2009,2017,Trade,Trade & Finance,Consumers International,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
109,ITUC Global Rights Index,https://survey.ituc-csi.org/ITUC-Global-Rights-Index.html?lang=en,2014,2018,Human Rights,Human Rights,ITUC,3,NGO,NGO,Belgium,Europe,BEL,TRUE
110,Knowledge Economy Index,http://web.worldbank.org/archive/website01030/WEB/IMAGES/KAM_V4.PDF,1995,2012,"Economic, Development","Economic, Development",World Bank,5,IGO,IGO,USA,United States,USA,FALSE
111,Legatum Prosperity Index,http://www.prosperity.com/#!/publications,2010,2017,"Governance, Economic","Governance, Economic",Legatum Institute,4,Private,University or Private,United Kingdom,United Kingdom,GBR,TRUE
112,Lisbon Scorecard,http://www.ceps.eu/content/1noth-lisbon-scorecard-measures-progress-road-2020-ceps-membership-meeting,2000,2010,Economic,Economic,Center for European Reform,3,NGO,NGO,United Kingdom,United Kingdom,GBR,FALSE
113,Logistics Performance Index,http://lpi.worldbank.org/,2007,2016,"Economic, Trade","Economic, Trade & Finance",The World bank,5,IGO,IGO,USA,United States,USA,TRUE
114,Low-Carbon Competitiveness Index,http://www.vivideconomics.com/uploads/reports/g20-low-carbon-competitiveness-index-2012-update/LCCI_Index_2012_update.pdf,2009,2013,Environment,Environment,Vivid Economics,4,Private,University or Private,United Kingdom,United Kingdom,GBR,FALSE
115,MCC Country Scorecards,https://www.mcc.gov/who-we-fund/scorecards,2004,2018,"Governance, Economic","Governance, Economic",MCC,2,National government,State,United States,United States,USA,TRUE
116,Media Sustainability Index,http://www.irex.org/project/media-sustainability-index-msi,2000,2018,Press Freedom,Human Rights,International Research and Exchanges Board/ USaid,2,National government,State,USA,United States,USA,TRUE
117,Millennium Challenge Account country rankings,http://www.mcc.gov/pages/selection/scorecards,2004,2017,Development,Development,U.S. Government Millennium Challenge Corporation,2,National government,State,USA,United States,USA,TRUE
118,Mother’s Index,https://www.savethechildren.net/state-worlds-mothers-2015,2000,2015,"Health, Gender","Development, Human Rights",Save the Children,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
119,Multidimensional Poverty Index,http://hdr.undp.org/en/statistics/mpi,2010,2016,"Social, Development, Economic","Social, Development, Economic",UNDP,5,IGO,IGO,USA,United States,USA,TRUE
120,Nations in Transit Ratings,http://www.freedomhouse.org/research/nattransit.htm,2004,2018,Governance,Governance,Freedom House,3,NGO,NGO,USA,United States,USA,TRUE
121,Networked Readiness Index (NRI)  (inside the global information technology report),http://reports.weforum.org/global-information-technology-report-2016/preface/,2001,2016,"Technology, Development","Trade & Finance, Development",World Economic Forum,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
122,Notre Dame Global Adaptation Index,http://index.gain.org/,1996,2017,Environment,Environment,Notre Dame,1,University,University or Private,United States,United States,USA,TRUE
123,Nuclear Materials Security Index,http://ntiindex.org,2014,2016,Security,Security,Nuclear Threat Initiative (NTI) and the Economist intelligence Unit,3,NGO,NGO,USA,United States,USA,TRUE
124,Ocean Health Index,http://www.oceanhealthindex.org,2012,2017,Environment,Environment,Ocean Health Index,8,NGO/country agency,Other,USA,United States,USA,TRUE
125,OECD Better Life Index,http://www.oecdbetterlifeindex.org/,2011,2017,"Social, Economic","Social, Economic",OECD,5,IGO,IGO,USA,United States,USA,TRUE
126,OECD Social Institutions and Gender Index,http://genderindex.org/,2009,2014,"Gender, Social","Human Rights, Social",OECD,5,IGO,IGO,USA,United States,USA,TRUE
127,Open Budget Survey/Open budget index,http://internationalbudget.org,2006,2017,Finance,Trade & Finance,International Budget Partnership,3,NGO,NGO,USA,United States,USA,TRUE
128,Open Data Barometer,http://opendatabarometer.org,2013,2016,Press Freedom,Human Rights,World Wide Web Foundation,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
129,Press Freedom Index,http://en.rsf.org,2002,2018,Press Freedom,Human Rights,Reporters without Borders,3,NGO,NGO,France,Europe,FRA,TRUE
130,Privacy Index/National Privacy Ranking,https://bestvpn.org/countries-ranked-by-privacy/,1997,2007,Human Rights,Human Rights,Privacy International,3,NGO,NGO,United Kingdom,United Kingdom,GBR,FALSE
131,Program for International Student Assessment (PISA),http://nces.ed.gov/surveys/pisa/,2000,2015,Education,Development,OECD/ Institute of Education Sciences,5,IGO,IGO,"France, USA",Europe,FRA,TRUE
132,Progress in International Reading Literacy Study (PIRLS),https://www.iea.nl/pirls,2001,2017,Education,Development,TIMSS and PIRLS International Study Center (Boston College) and the International Association for the Evaluation of Educational Achievement (IEA),6,NGO/university,Other,USA,United States,USA,TRUE
133,Quality of Official Development Assistance,http://www.cgdev.org/publication/quality-official-development-assistance-assessment-report,2010,2014,Development,Development,Center for Global Development,3,NGO,NGO,USA,United States,USA,TRUE
134,Rainbow Europe Map and Index,http://www.ilga-europe.org/home/publications/reports_and_other_materials/rainbow_europe,2009,2016,Human Rights,Human Rights,Rainbow Europe,3,NGO,NGO,Belgium,Europe,BEL,TRUE
135,Religious Freedom Report,http://www.state.gov/j/drl/rls/irf/,2001,2017,Human Rights,Human Rights,US Department of State,2,National government,State,USA,United States,USA,TRUE
136,Reproductive Risk Index/reproductive health index,https://pai.org/reports/rights-results-reproductive-health-index/,1995,2015,Health,Development,Population Action International,3,NGO,NGO,United States,United States,USA,TRUE
137,Resource Governance Index,http://www.revenuewatch.org/rgi,2013,2017,"Environment, Governance","Environment, Governance",National Resource Governance Institute,3,NGO,NGO,USA,United States,USA,TRUE
138,Science and Technology Indicators,https://cordis.europa.eu/news/rcn/9978_en.html,1994,2003,"Technology, Development","Trade & Finance, Development",European Commission,5,IGO,IGO,Belgium,Europe,BEL,FALSE
139,Single Market Scoreboard,http://ec.europa.eu/internal_market/scoreboard/,1997,2017,"Trade, Finance",Trade & Finance,European Commission,5,IGO,IGO,Belgium,Europe,BEL,TRUE
140,Social Progress Index,http://www.socialprogressindex.com/overview,2014,2016,Social,Social,Social Progress Imperative,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
141,Social Watch Scorecard,http://www.socialwatch.org/node/11939,1999,2005,"Social, Development","Social, Development",Social Watch,3,NGO,NGO,Uruguay,Global South,URY,FALSE
142,Soft Power 30,http://softpower30.portland-communications.com,2015,2017,Governance,Governance,Portland,4,Private,University or Private,United States,United States,USA,TRUE
143,Special 301 Report,https://ustr.gov/issue-areas/intellectual-property/Special-301,1989,2018,Trade,Trade & Finance,Office of United States Trade Representative,2,National government,State,USA,United States,USA,TRUE
144,Statistical Capacity Indicator,http://datatopics.worldbank.org/statisticalcapacity/,2004,2017,"Technology, Development","Trade & Finance, Development",World Bank,5,IGO,IGO,USA,United States,USA,TRUE
145,Sustainable Governance Indicators,http://www.sgi-network.org/2014/,2009,2017,"Environment, Governance","Environment, Governance",Bertelsmann Foundation,3,NGO,NGO,Germany,Europe,DEU,TRUE
